Aleph-ID|Autor|Titel|Aufl.|Jahr|ISBN|SPRACHE|Signatur|Fach
000655608|Esser, Hartmut|Soziologie|3. Aufl.|1999|3-593-34960-4|ger|110 MQ 1200 E78(3)|06
000944866|Ette, Ottmar|Kuba heute||2001|3-89354-575-1|ger|110 AE 68715 E85|30
001353611|Ewert, Ralf|Interne Unternehmensrechnung|7., überarb. Aufl.|2008|978-3-540-77283-5|ger|110 QP 830 E94|08
001415745|Eysenck, Michael W.|Cognitive psychology|6. ed.|2010|978-1-84169-539-6|eng|110 CP 4000 E98(6)|03
001550021|Fabozzi, Frank J.|Bond markets, analysis, and strategies|8. ed., global ed.|2013|978-0-273-76613-1|eng|110 QK 620 F121(8)|08
001526251|Fahrmeir, Ludwig|Statistik|7. Aufl., korr. Nachdr.|2011|978-3-642-01938-8|ger|110 SK 800 F158(7)|11
001553457|Falk, Ulrich|Klausurenkurs im Bürgerlichen Recht||2012|978-3-8114-9886-0|ger|110 PD 2080 F191-2|09
001347009|Fandel, Günter|Produktion|7. Aufl.|2007|978-3-540-73140-5|ger|110 QP 500 F199|08
000828315|Faulstich, Werner|Einführung in die Medienwissenschaft||2002|3-8252-2407-4|ger|110 AP 12800 F263|25
001370115|Faulstich, Werner|Grundkurs Fernsehanalyse||2008|978-3-8252-3153-8|ger|110 AP 32850 F263|25
000857057|Faulstich, Werner|Grundkurs Filmanalyse||2002|3-8252-2341-8|ger|110 AP 45000 F263|25
001614724|Faulstich, Werner|Grundkurs Filmanalyse|3., aktualisierte Aufl. / überarb. von Ricarda Strobel|2013|978-3-8252-3916-9|ger|110 AP 45000 F263(3)|25
001117703|Faulstich, Werner|Grundwissen Medien|5., vollständig überarb. und erheblich erw. Aufl.|2004|3-8252-8169-8|ger|110 AP 12800 F263(5)|25
001688374|Fehrenbach, Elisabeth|Verfassungsstaat und Nationsbildung 1815 - 1871|2., um einen Nachtr. erw. Aufl.|2007|978-3-486-58217-8|ger|110 NB 2000 F296(2)|34
001350574|Fehrenbach, Elisabeth|Vom Ancien Régime zum Wiener Kongreß|5. Aufl.|2008|978-3-486-58587-2|ger|110 NB 2000 A496(5)|34
001607893|Fehrenbacher, Oliver|Steuerrecht|4. Aufl.|2013|978-3-8329-7676-7|ger|110 PP 3020 F296(4)|09
001132254|Felderer, Bernhard|Makroökonomik und neue Makroökonomik|9., verb. Aufl.|2005|3-540-25020-4|ger|110 QC 300 F312|08
000716403|Felix, Jürgen|Moderne Film Theorie|2. Aufl.|2003|3-9806528-1-5|ger|110 AP 45100 F316|25
001371165|Fellermayer, Martin|Langenscheidt Business-Wörterbuch Englisch|Völlige Neubearb.|2009|978-3-468-06122-6|ger|110 HF 131 F318|28
001336332|Felser, Georg|Werbe- und Konsumentenpsychologie|3. Aufl.|2007|978-3-8274-1782-4|ger|110 QP 631 F324(3)|08
001428559|Fenn, Peter|A student's advanced grammar of English||2010|978-3-8252-8432-9|eng|110 HF 181 F334|28
000383786|Fetzer, Thomas|Einführung in das Steuerrecht|4., völlig neu bearb. Aufl.|2012|978-3-8114-3515-5|ger|110 PP 3020 A747(4)|09
001596217|Field, Andy P.|Discovering statistics using IBM SPSS statistics|4. ed.|2013|978-1-4462-4917-8|eng|110 AP 13900 F453(4e)|25
000824889|Field, Andy P.|How to design and report experiments|1. publ.|2003|978-0-7619-7383-6|eng|110 SK 840 F453(e)|12
001184411|Fikentscher, Wolfgang|Schuldrecht|10., völlig neu bearb. Aufl.|2006|3-89949-147-5|ger|110 PD 3606 F477(10)|09
001056889|Finley, Moses I.|Die Griechen|2., durchges. Aufl.|1983|3-406-09350-7|ger|110 NB 1400 F513|34
000967851|Fisch, Jörg|Europa zwischen Wachstum und Gleichheit||2002|3-8252-2290-X|ger|110 NB 2000 F528|34
001640816|Fischer, Gerd|Lineare Algebra|18., aktualisierte Aufl.|2014|978-3-658-03944-8|ger|110 SK 220 F529(18)|11
001622202|Fischer, Thomas|Strafgesetzbuch mit Nebengesetzen|61. Aufl. / des von Otto Schwarz begr., in der 23. bis 37. Aufl. von Eduard Dreher und in der 38. bis 49. Aufl. von Herbert Tröndle bearb. Werks|2014|978-3-406-65234-9|ger|110 PH 2550 F529(61)|09
001378286|Fleischer, Wolfgang|Wortbildung der deutschen Gegenwartssprache|3., unveränd. Aufl.|2007|978-3-484-10682-6|ger|110 GC 6728 F596|29
001681371|Flick, Uwe|Qualitative Forschung|Orig.-Ausg., 10. Aufl.|2013|978-3-499-55628-9|ger|110 MR 2000 F621 Q1(10)|06
001681345|Flick, Uwe|Qualitative Sozialforschung|Vollst. überarb. und erw. Neuausg., 5. Aufl., Orig. -Ausg.|2012|978-3-499-55694-4|ger|110 MR 2000 F621(5)|06
001681331|Flick, Uwe ¬|Handbuch qualitative Sozialforschung|3., neu ausgestattete Aufl.|0|978-3-621-28074-7|ger|110 MR 2000 F621 H236(3)|06
001003862|Fluck, Winfried|Das kulturelle Imaginäre|1. Aufl.|1997|3-518-28879-2|ger|110 HT 1810 F646|28
001636710|Fludernik, Monika|Erzähltheorie|4., erneut durchges. Aufl.|2013|978-3-534-29920-1|ger|110 EC 4500 F646(5)|27
001602975|Forster, Otto|Analysis|11., erw. Aufl.|2013|978-3-658-00316-6|ger|110 SK 400 F734-1(11)|11
001687893|Forster, Otto|Übungsbuch zur Analysis 2|8.., aktualisierte Aufl.|2013|978-3-658-00512-2|ger|110 SK 400 F734 U22(8)|11
001329917|Foscht, Thomas|Käuferverhalten|3., aktualisierte Aufl.|2007|978-3-8349-0470-6|ger|110 QW 300 F747|08
001616176|Foucault, Thierry|Market liquidity||2013|978-0-19-993624-3|eng|110 QK 626 F762(e)|08
001354086|Frank, Robert H.|Microeconomics and behavior|7. ed., international ed.|2008|0-07-126349-7|eng|110 QC 100 F828|08
001417556|Frank, Wolfgang|Psychiatrie|15. Aufl.|2007|978-3-437-42601-8|ger|110 CZ 3000 F828|03
001439122|Franke, Günter|Finanzwirtschaft des Unternehmens und Kapitalmarkt|6., überarb. und erw. Aufl.|2009|978-3-642-02552-5|ger|110 QP 700 F829(6)|08
000572655|Franke, Jürgen|Grundzüge der Mikroökonomik|8., durchges. Aufl.|1996|3-486-23964-3|ger|110 QC 100 F829|08
001342558|Franklin, Wayne|The Norton anthology of American literature|7. ed.|2007|0-393-92739-3|eng|110 HR 1910 F831|28
001609990|Franz, Wolfgang|Arbeitsmarktökonomik|8., aktualisierte und erg. Aufl.|2013|978-3-642-36901-8|ger|110 QC 220 F837(8)|08
001400077|Freeborn, Dennis|From Old English to standard English|3. ed., [Nachdr.]|2008|978-1-4039-9880-4|eng|110 HE 130 F853|28
001438207|Frenkel, Michael|Volkswirtschaftliche Gesamtrechnung|7., vollst. überarb. Aufl.|2011|978-3-8006-3763-8|ger|110 QI 000 B889|08
001621120|Frenz, Walter|Öffentliches Recht|6., neu bearb. Aufl.|2013|978-3-8006-3999-1|ger|110 PL 210 F879(6)|09
001061504|Frenzel, Elisabeth|Motive der Weltliteratur|4., überarb. u. erg. Aufl.|1992|3-520-30104-0|ger|110 EC 5400 F879 M918(4)|27
000953584|Frenzel, Elisabeth|Motive der Weltliteratur|5., überarb. und erg. Aufl.|1999|3-520-30105-9|ger|110 EC 5400 F879 M918(5)|27
001014874|Frenzel, Elisabeth|Stoffe der Weltliteratur|8., überarb. u. erw. Aufl.|1992|3-520-30008-7|ger|110 EC 5400 F879 S873(8)|27
001231066|Frenzel, Elisabeth|Stoffe der Weltliteratur|10., überarb. und erw. Aufl. / unter Mitarb. von Sybille Grammetbauer|2005|3-520-30010-9|ger|110 EC 5400 F879 S873(10)|27
001510667|Frese, Erich|Grundlagen der Organisation|10., überarb. und erw. Aufl.|2012|978-3-8349-3029-3|ger|110 QP 340 F884|08
001375468|Freund, Georg|Strafrecht, Allgemeiner Teil|2., aktualisierte Aufl.|2009|978-3-540-79397-7|ger|110 PH 3000 F889|09
001317215|Frey, Dieter|Motivations-, Selbst- und Informationsverarbeitungstheorien|2., vollst. überarb. und erw. Aufl.|2002|3-456-83514-0|ger|110 CV 1000 F893 M918|03
001639908|Frey, Kaspar|Gesellschaftsrecht|8., völlig neu bearb. Aufl.|2012|978-3-406-63263-1|ger|110 PE 311 W644(8)|09
001069715|Fried, Johannes|Die Formierung Europas 840 - 1046|3., überarb. Aufl.|2008|978-3-486-49703-8|ger|110 NB 1600 F899(3)|08
001456043|Frieden, Jeffry A.|World politics|1. ed.|2010|978-0-393-92709-2|eng|110 MK 4050 F899|07
001609988|Friedl, Gunther|Kostenrechnung|2., überarb. Aufl.|2013|978-3-8006-4660-9|ger|110 QP 830 H713(2)|08
001390760|Friedrich, Udo|Orientierungskurs Germanistik|1. Aufl.|2008|978-3-12-939000-9|ger|110 GB 2908 F911|29
001371907|Fritzsche, Klaus|Grundkurs Analysis|2. Aufl.|2008|978-3-8274-1878-4|ger|110 SK 400 F919(2)|11
001635126|Fritzsche, Klaus|Grundkurs Analysis|2., überarb. und erw. Aufl.|2013|978-3-642-37494-4|ger|110 SK 400 F919-2(2)|11
001549048|Fromm, Sabine|Datenanalyse mit SPSS für Fortgeschrittene|2. Aufl.|2012|978-3-531-18793-8|ger|110 MR 2200 F932-2(2)|06
000941901|Froschauer, Ulrike|Das qualitative Interview||2003|3-8252-2418-X|ger|110 MR 2400 F938|06
001433391|Froschauer, Ulrike|Interpretative Sozialforschung|1. Aufl.|2009|978-3-8252-3306-8|ger|110 MR 2000 F938|06
001403394|Frotscher, Gerrit|Internationales Steuerrecht|3., völlig überarb. Aufl.|2009|978-3-406-59057-3|ger|110 PP 8070 F941(3)|09
001621121|Frotscher, Werner|Verfassungsgeschichte|12., überarb. Aufl.|2013|978-3-406-65302-5|ger|110 PL 220 F941(12)|09
001615460|Frotscher, Werner|Wirtschaftsverfassungs- und Wirtschaftsverwaltungsrecht|6., überarb. und erg. Aufl.|2013|978-3-406-63666-0|ger|110 PN 744 F941(6)|09
001600940|Früh, Werner|Inhaltsanalyse|7., überarb. Aufl.|2011|978-3-8252-3595-6|ger|110 MR 2600 F944(7)|06
001601662|Fuchs, Maximilian|Delikts- und Schadensersatzrecht|8., aktual. und erw. Aufl.|2012|978-3-642-31617-3|ger|110 PD 6026 F951(8)|09
000755172|Fudenberg, Drew|Game theory||1991|0-262-06141-4|eng|110 QH 430 F952|08
000865188|Fuente, Ángel de^la|Mathematical methods and models for economists|1. publ.|2000|0-521-58512-0|eng|110 QM 100 F954|08
000737378|Funke, Joachim|Handbuch der Allgemeinen Psychologie - Kognition||2006|3-8017-1846-8|ger|110 CP 4000 F982|03
001679964|Funke, Peter|Geschichte der Antike - Quellenband|2., erw. Aufl.|2013|978-3-476-02495-4|ger|110 NH 5050 G311 G389(2)|34
001427816|Fäcke, Christiane|Fachdidaktik Französisch||2010|978-3-8233-6560-0|ger|110 ID 1502 F147|30
001494497|Föllmer, Hans|Stochastic finance|3., rev. and extend. ed.|2011|978-3-11-021804-6|eng|110 SK 980 F654(3)|11
001349796|Gabriel, Oscar W.|Die EU-Staaten im Vergleich|3., aktualisierte und erw. Aufl.|2008|3-531-42282-0|ger|110 MK 5100 G118(3)|07
001542886|Gall, Lothar|Von der ständischen zur bürgerlichen Gesellschaft|2., aktualisierte Aufl.|2012|978-3-486-71276-6|ger|110 NB 1600 G162(2)|34
001238703|Galster, Gabi|Wirtschaftsenglisch für Studium und Beruf||2007|978-3-486-58204-8|ger|110 HD 232 G178|28
001461490|Gamerith, Wolf|Einführung in die Wirtschaftsmathematik|5., vollst. überarb. Aufl.|2010|978-3-642-15048-7|ger|110 SK 980 H887(5)|12
001524749|Gans, Paul|Bevölkerung||2011|978-3-534-20043-8|ger|110 RB 10564 G199 B571|35
001420124|Gans, Paul|Bevölkerungsgeographie||2009|978-3-14-151059-1|ger|110 RB 10564 G199|35
001376120|Gazzaniga, Michael S.|Cognitive neuroscience|3. ed., international student ed.|2009|978-0-393-92795-5|eng|110 CZ 1300 G291|03
001585450|Gebhardt, Hans|Europa - eine Geographie||2013|978-3-8274-2005-3|ger|110 RB 10053 G293|35
001555637|Geckeler, Horst|Einführung in die französische Sprachwissenschaft|5., neu bearb. und erw. Aufl.|2012|978-3-503-13720-6|ger|110 ID 1650 G294(5)|30
001373520|Gehring, Uwe W.|Grundkurs Statistik für Politologen und Soziologen|5., überarb. Aufl.|2009|978-3-531-16269-0|ger|110 MB 2520 G311|07
001680035|Gehrke, Hans-Joachim|Geschichte der Antike|4., erw. Aufl.|2013|978-3-476-02494-7|ger|110 NH 5050 G311(4)|34
001370372|Gehrke, Hans-Joachim|Geschichte des Hellenismus|4., durchges. Aufl.|2008|978-3-486-58785-2|ger|110 NB 1400 G311 H477(4)|34
001610257|Gehrke, Hans-Joachim|Kleine Geschichte der Antike|Ungekürzte Ausg., 5. Aufl.|2011|978-3-423-34041-0|ger|110 NB 1400 G311(5)|34
001620032|Geis, Max-Emanuel|Examens-Repetitorium Staatsrecht||2010|978-3-8114-9743-6|ger|110 PL 210 G313|09
000836919|Geisenhanslüke, Achim|Einführung in die Literaturtheorie|3. Aufl., unveränd. Nachdr. d. 2. Aufl. 2004|2006|3-534-15905-5|ger|110 EC 1820 G313|27
001615758|Geißler, Rainer|Die Sozialstruktur Deutschlands|7., grundlegend überarb. Aufl.|2014|978-3-531-18629-0|ger|110 MS 1204 G313(7)|06
000790498|Genette, Gérard|Die Erzählung||1994|3-7705-2923-5|ger|110 EC 7000 G328|27
001098075|Gern, Alfons|Kommunalrecht Baden-Württemberg|9. Aufl.|2005|3-8329-0846-3|ger|110 PN 321 G376(9)|09
001424982|Gernhuber, Joachim|Familienrecht|6., völlig neu bearb. Aufl.|2010|978-3-406-59513-4|ger|110 PD 7306 G376(6)|09
001356838|Gerrig, Richard J.|Psychologie|18., aktualisierte Aufl.|2008|978-3-8273-7275-8|ger|110 CM 1000 Z71(18)|03
001009035|Gfrereis, Heike|Grundbegriffe der Literaturwissenschaft||1999|978-3-476-10320-8|ger|110 EC 1020 G399|27
000458200|Gibbons, Robert|A primer in game theory|[Nachdr.]|1999|0-7450-1160-8|eng|110 QH 430 G441|08
001056601|Giemulla, Elmar|Verwaltungsrecht|7., erw. und überarb. Aufl.|2004|3-452-25825-4|ger|110 PN 225 G454|09
001358859|Gilbert, Sandra M.|Feminist literary theory and criticism|1. ed.|2007|978-0-393-92790-0|eng|110 EC 1874 G466|27
001140865|Gilbert, Sandra M.|The madwoman in the attic|14. [pr.]|1984|0-300-02286-7|eng|110 HL 1071 G466|28
001637332|Gilovich, Thomas|Social psychology|3. ed., [internat. student ed.]|2013|978-0-393-92081-9|eng|110 CV 1000 G488(3e)|03
001497226|Gläser, Jochen|Experteninterviews und qualitative Inhaltsanalyse|4. Aufl.|2010|978-3-531-17238-5|ger|110 MR 2400 G543(4)|06
001446342|Glück, Helmut|Metzler-Lexikon Sprache|4., aktualisierte und überarb. Aufl.|2010|978-3-476-02335-3|ger|110 ER 450 G567(4)|27
001519132|Goddard, Cliff|Semantic analysis|2. ed.|2011|978-0-19-956028-8|eng|110 ET 450 G578|27
001126841|Goertz, Hans-Jürgen|Religiöse Bewegungen in der Frühen Neuzeit||1993|3-486-55759-9|ger|110 NB 1600 G597|34
001688379|Goetz, Hans-Werner|Proseminar Geschichte: Mittelalter|4., aktualis. und erw. Aufl.|2014|978-3-8252-4066-0|ger|110 NB 1600 G611(4)|34
001338159|Goldstein, Eugen Bruce|Wahrnehmungspsychologie|7. Aufl.|2008|978-3-8274-1766-4|ger|110 CP 2000 G624(7)|03
000517109|Goodluck, Helen|Language acquisition|Repr.|1996|0-631-17386-2|eng|110 ER 910 G652|27
001345876|Graefen, Gabriele|Germanistische Sprachwissenschaft||2008|3-8252-8381-X|ger|110 GC 1015 G734|29
001543212|Grant, Robert M.|Contemporary strategy analysis|7. ed., text and cases ed., repr. with corr.|2011|978-0-470-74709-4|eng|110 QP 320 G762(7)|08
001567481|Gray, Colin D.|IBM SPSS statistics 19 made simple|1. publ.|2012|978-1-84872-069-5|eng|110 ST 601 S69|11
001345878|Greif, Stefan|Arbeitsbuch Deutsche Klassik||2008|978-3-7705-4323-6|ger|110 GK 1850 G824|29
000931788|Grewendorf, Günther|Sprachliches Wissen|3., durchges. Aufl., [Nachdr.]|0|3-518-28295-6|ger|110 ET 150 G841|27
001370118|Gries, Rainer|Produktkommunikation||2008|3-8252-3077-5|ger|110 AP 17440 G848|25
001162520|Grimm, Jürgen|Einführung in die französische Literaturwissenschaft|4., durchges. u. erw. Aufl.|1997|3-476-14148-9|ger|110 IE 1000 G864(4)|30
001086289|Grimm, Jürgen|Französische Klassik||2005|3-476-01652-8|ger|110 IF 4850 G864|30
001286125|Grimm, Jürgen|Französische Literaturgeschichte|5., überarb. und aktualisierte Aufl.|2006|3-476-02148-3|ger|110 IE 2260 G864|30
001370379|Grotefend, Hermann|Taschenbuch der Zeitrechnung des deutschen Mittelalters und der Neuzeit|14. Aufl.|2007|3-7752-5177-4|ger|110 NB 1600 G881(14)|34
001621013|Großmann, Christian|Numerische Behandlung partieller Differentialgleichungen|3., völlig überarb. und erw. Aufl.|2005|3-519-22089-X|ger|110 SK 920 G878(3)|11
001621818|Grund, Nico|Klausurvorbereitung zur Einführung in die Informatik||2013|978-3-486-73180-4|ger|110 ST 110 G889|12
001415125|Grunewald, Barbara|Bürgerliches Recht|8., völlig neu bearb. Aufl.|2009|978-3-406-59518-9|ger|110 PD 2700 G891(8)|09
001621125|Grunewald, Barbara|Einführung in das Kapitalmarktrecht|3. Aufl.|2014|978-3-406-65413-8|ger|110 PE 610 G891(3)|09
001639962|Grunewald, Barbara|Gesellschaftsrecht|9., vollst. überarb. Aufl.|2014|978-3-16-153143-9|ger|110 PE 375 G891(9)|09
001599105|Gröne, Maximilian|Französische Literaturwissenschaft|3., aktualisierte Aufl.|2012|978-3-8233-6756-7|ger|110 IE 1000 G874(3)|30
001563857|Gröne, Maximilian|Italienische Literaturwissenschaft|2., aktualisierte Aufl.|2012|978-3-8233-6699-7|ger|110 IT 1000 G874|30
001599100|Gröne, Maximilian|Spanische Literaturwissenschaft|2., aktualisierte Aufl.|2012|978-3-8233-6747-5|ger|110 IN 0940 G874(2)|30
001577813|Gröpl, Christoph|Grundgesetz||2013|978-3-406-64230-2|ger|110 PL 374 G874|09
001556234|Grüner, Hans Peter|Wirtschaftspolitik|4., überarb. und erw. Aufl.|2012|978-3-642-28373-4|ger|110 QD 000 G886(4)|08
001492937|Gujarati, Damodar N.|Basic econometrics|5. ed., intern. ed., [Nachdr.]|0|0-07-127625-4|eng|110 QH 310 G969(5)|08
001577048|Gumm, Heinz-Peter|Einführung in die Informatik|10., vollst. überarb. Aufl.|2013|978-3-486-70641-3|ger|110 ST 110 G974(10)|12
001445469|Gärtner, Manfred|Macroeconomics|3. ed.|2009|978-0-273-71790-4|eng|110 QC 300 G128|08
001342794|Göppinger, Hans|Kriminologie|6., vollst. neu bearb. und erw. Aufl.|2008|3-406-55509-8|ger|110 PH 8030 G596|09
000712103|Görlach, Manfred|Einführung ins Frühneuenglische|2., erw. Aufl.|1994|3-8253-0208-3|ger|110 HF 100 G597|28
001505524|Götz, Dieter|Langenscheidt Großwörterbuch Deutsch als Fremdsprache|Neubearb.|2010|978-3-468-49042-2|ger|110 GB 1490 G611|27
001575776|Götz, Volkmar|Allgemeines Polizei- und Ordnungsrecht|15., neu bearb. Aufl.|2013|978-3-406-63908-1|ger|110 PN 355 G611(15)|09
000588861|Günther, Hans-Otto|Produktion und Logistik||0||ger|110 QP 500 G927-1 (10)|08
001617462|Günther, Hans-Otto|Produktion und Logistik|10., erw. und verb. Aufl.|2013|978-3-7322-4093-7||110 QP 500 G927-1(10)|08
001459370|Günther, Hans-Otto|Übungsbuch Produktion und Logistik|7., verb. Aufl.|2010|978-3-642-13390-9|ger|110 QP 500 G927-2(7)|08
001548521|Günther, Linda-Marie|Griechische Antike|2., aktualisierte Aufl.|2011|978-3-8252-3598-7|ger|110 NB 1400 G927 G848(2)|34
001421063|Günther, Rosmarie|Einführung in das Studium der Alten Geschichte|3., überarb. und aktualisierte Aufl.|2009|978-3-8252-2168-3|ger|110 NB 1400 G927(3)|34
001374025|Haas, Hans-Dieter|Wirtschaftsgeographie|2., durchges. Aufl.|2008|978-3-534-15630-6|ger|110 RB 10050 H112(2)|35
001519490|Haase, Florian|Internationales und Europäisches Steuerrecht|3., neu bearb. Aufl.|2011|978-3-8114-9807-5|ger|110 PP 8070 H112|09
001683326|Haase, Florian|Internationales und Europäisches Steuerrecht|4., neu bearb. Aufl.|2014|978-3-8114-9351-3|ger|110 PP 8070 H112(4)|09
000657985|Habermas, Jürgen|Theorie des kommunikativen Handelns|4., durchges. Aufl.|1987|3-518-57583-X|ger|110 CI 2344 T396-2|06
000563125|Habermas, Jürgen|Theorie des kommunikativen Handelns|4., durchges. Aufl.|1987|3-518-57591-0|ger|110 CI 2344 T396-1|06
001610454|Haedicke, Maximilian Wilhelm|Patentrecht|2. Aufl.|2013|978-3-452-27772-5|ger|110 PE 713 H133(2)|09
000522072|Hafner, Robert|Statistik für Sozial- und Wirtschaftswissenschaftler|2., verb. Aufl.|2000|3-211-83455-9|ger|110 SK 850 H139|11
001157773|Haft, Fritjof|Strafrecht|5., [überarb.] Aufl.|2004|3-406-52263-7|ger|110 PH 2620 H139(5)|09
001054361|Haft, Fritjof|Strafrecht, allgemeiner Teil|9. Aufl.|2004|3-406-52218-1|ger|110 PH 3000 H139(9)|09
001158567|Haft, Fritjof|Strafrecht, besonderer Teil|8. Aufl.|2005|3-406-53046-X|ger|110 PH 3500 H139-2(8)|09
001403425|Haft, Fritjof|Strafrecht, besonderer Teil|9. Aufl.|2009|978-3-406-59028-3|ger|110 PH 3500 H139-1(9)|09
001387425|Hagmann, Jasmin|Die besten Bewerbungsmuster Bachelor - Master|2. Aufl.|2009|978-3-448-09338-4|ger|110 AL 43950 B572|01
001683753|Hair, Joseph F.|Multivariate data analysis|7. ed., new internat. ed.|2014|978-1-292-02190-4|eng|110 QH 234 H153(7e)|08
000661588|Hall, Tracy Alan|Phonologie||2000|3-11-015641-5|ger|110 ET 200 H179|27
001447060|Hallet, Wolfgang|Handbuch Fremdsprachendidaktik|1. Aufl.|2010|978-3-7800-1053-7|ger|110 ES 750 H186|09
001641194|Haratsch, Andreas|Europarecht|9., überarb. und aktual. Aufl.|2014|978-3-16-153193-4|ger|110 PS 2500 H254(9)|09
001346301|Harley, Trevor A.|The Psychology of language|3. ed., 1. publ.|2008|1-8416-9381-2|eng|110 CP 6500 H285|03
000936110|Harris, Larry|Trading and exchanges||2003|0-19-514470-8|eng|110 QK 600 H313(e)|08
000754373|Hartmann, Wilfried|Der Investiturstreit|3., überarb. und erw. Aufl.|2007|978-3-486-57841-6|ger|110 NB 1600 H333(3)|34
000808332|Hartung, Joachim|Multivariate Statistik|4., durchges. Aufl.|1992|3-486-22268-6|ger|110 SK 830 H336|11
001394592|Hartung, Joachim|Statistik|15., überarb. und wesentlich erw. Aufl.|2009|978-3-486-59028-9|ger|110 SK 850 H336(15)|11
001522961|Harzing, Anne-Wil|International human resource management|3. ed.|2011|978-1-84787-293-7|eng|110 QV 578 H343(3e)|08
001611634|Hasselhorn, Marcus|Pädagogische Psychologie|3., vollst. überarb. und erw. Aufl.|2013|978-3-17-022462-9|ger|110 CX 1000 H355(3)|03
001348933|Hausendorf, Heiko|Textlinguistik fürs Examen||2008|978-3-525-26543-7|ger|110 GC 7365 H376|29
001527526|Hawkins, Del I.|Consumer behavior|12. ed., internat. student ed.|2013|978-0-07-131817-4|eng|110 QW 300 H393(12e)|08
000625710|Hayashi, Fumio|Econometrics||2000|0-691-01018-8|eng|110 QH 310 H413|08
001402734|Hays, William L.|Statistics|5. ed., [Nachdr.]|0|0-03-074467-9|eng|110 MR 2100 H425|06
001366957|Hebel, Udo J.|Einführung in die Amerikanistik, American Studies||2008|978-3-476-02151-9|ger|110 HD 101 H443|28
001370494|Heckhausen, Jutta|Motivation und Handeln|3., überarb. u. aktualisierte Aufl., Nachdr.|2007|3-540-25461-7|ger|110 CP 3100 H449|03
001371492|Heertje, Arnold|Grundlagen der Volkswirtschaftslehre|7., überarb. und erw. Aufl.|2008|3-540-85040-6|ger|110 QC 072 H459|08
001204198|Hehl, Ulrich von|Nationalsozialistische Herrschaft||1996|3-486-55019-5|ger|110 NB 2000 H464|34
001057673|Heij, Christiaan|Econometric methods with applications in business and economics|1. publ.|2004|0-19-926801-0|eng|110 QH 310 H465|08
001168222|Heimann, Heinz-Dieter|Einführung in die Geschichte des Mittelalters|2., überarb. Aufl.|2006|3-8001-2864-0|ger|110 NB 1600 H467(2)|34
000940676|Heinrich, Jürgen|Medienökonomie|2., überarb. u. aktualisierte Aufl.|2001|3-531-32636-8|ger|110 AP 17600 H469-1|25
000620069|Heinrich, Jürgen|Medienökonomie|Durchges. Nachdr.|2002|3-531-12713-6|ger|110 AP 17600 H469-2|25
001456378|Heinrich, Lutz Jürgen|Wirtschaftsinformatik|4., überarb. u. erw. Aufl.|2011|978-3-642-15425-6|ger|110 QH 500 H469(4)|08
001567096|Helferich, Christoph|Geschichte der Philosophie|4., erw. Aufl.|2012|978-3-476-02426-8|ger|110 CD 1100 H474(4)|02
000227160|Heller, Klaus|Die Regeln der deutschen Rechtschreibung||2008|3-615-00181-8|ger|110 GC 6659 H477|29
001556885|Helmig, Bernd|Nonprofit-Management||2012|978-3-8006-3707-2|ger|110 QR 400 H479|08
001602284|Helmke, Andreas|Unterrichtsqualität und Lehrerprofessionalität|4., [aktualisierte] Aufl.|2012|978-3-7800-1009-4|ger|110 DO 1250 H479(4)|05
001633890|Helms, Tobias|Erbrecht|6., neu bearb. Aufl.|2013|978-3-406-65259-2|ger|110 PD 8106 F828(6)|09
001686380|Herdegen, Matthias|Europarecht|16., überarb. und erw. Aufl.|2014|978-3-406-66156-3|ger|110 PS 2500 H541(16)|09
001623838|Herdegen, Matthias|Internationales Wirtschaftsrecht|10., überarb. und erw. Aufl.|2014|978-3-406-64740-6|ger|110 PT 334 H541(10)|09
001599214|Heringer, Hans Jürgen|Deutsche Grammatik||2013|978-3-8252-8523-4|ger|110 GB 2956 H546|29
001208031|Heringer, Hans Jürgen|Interkulturelle Kommunikation||2004|3-8252-2550-X|ger|110 AP 14350 H546|25
001599042|Heringer, Hans Jürgen|Interkulturelle Kommunikation|3., durchges. Aufl.|2010|978-3-8252-2550-6|ger|110 AP 14350 H546(3)|25
001567637|Herold, Helmut|Grundlagen der Informatik|2., aktualisierte Aufl.|2012|3-86894-111-8|ger|110 ST 110 H561(2)|12
001608225|Herrmann, Christoph|Examens-Repetitorium Europarecht, Staatsrecht III|4., neu bearb. Aufl.|2013|978-3-8114-9327-8|ger|110 PS 2500 H568(4)|09
001527472|Herrmann, Marco|Arbeitsbuch Grundzüge der Volkswirtschaftslehre|4., überarb. und erw. Aufl.|2012|978-3-7910-3099-9|ger|110 QC 072 M278 H568(4)|08
001548771|Herrmann, Paul|Rechnerarchitektur|4., aktualisierte und erw. Aufl.|2011|3-8348-1512-8|ger|110 ST 150 H568(4)|12
000753778|Herzberg, Rolf Dietrich|Effizient studieren: Rechtswissenschaften||1999|3-409-12251-6|ger|110 PC 5500 H582|09
001508710|Hess, Burkhard|Zivilprozessrecht|30., völlig neu bearb. Aufl. / des von Friedrich Lent begr. und von der 10. bis zur 29. Aufl. von Othmar Jauernig fortgef. Werkes|2011|978-3-406-60680-9|ger|110 PG 455 J41(30)|09
001253849|Hess, Rainer|Literaturwissenschaftliches Wörterbuch für Romanisten|4., überarb. und erw. Aufl.|2003|3-8252-1373-0|ger|110 IB 1512 H586(4)|30
